Component-Whole(e2,e1)	1	2	the system as described above has its greatest application in an arrayed e11 configuration e12 of antenna e21 elements e22	configuration # of $ elements	13	15	18	20	21
Other	1	2	the e11 child e12 was carefully wrapped and bound into the e21 cradle e22 by means of a cord	child # was wrapped into $ cradle	2	4	12	14	20
Instrument-Agency(e2,e1)	1	2	the e11 author e12 of a keygen uses a e21 disassembler e22 to look at the raw assembly code	author # uses $ disassembler	2	4	10	12	20
Other	1	2	a misty e11 ridge e12 uprises from the e21 surge e22	ridge # from $ surge	3	5	9	11	12
Member-Collection(e1,e2)	1	2	the e11 student e12 e21 association e22 is the voice of the undergraduate student population of the state university of new york at buffalo	student # $ association	2	4	5	7	25
Other	1	2	this is the sprawling e11 complex e12 that is peru largest e21 producer e22 of silver	complex # is $ producer	5	7	12	14	17
Cause-Effect(e2,e1)	1	2	the current view is that the chronic e11 inflammation e12 in the distal part of the stomach caused by helicobacter pylori e21 infection e22 results in an increased acid production from the non - infected upper corpus region of the stomach	inflammation # caused by $ infection	8	10	22	24	42
Entity-Destination(e1,e2)	1	2	e11 people e12 have been moving back into e21 downtown e22	people # have been moving into $ downtown	1	3	9	11	12
Content-Container(e1,e2)	1	2	the e11 lawsonite e12 was contained in a e21 platinum crucible e22 and the counter - weight was a plastic crucible with metal pieces	lawsonite # was contained in $ crucible	2	4	9	12	25
Entity-Destination(e1,e2)	1	2	the solute was placed inside a beaker and 5 ml of the e11 solvent e12 was pipetted into a 25 ml glass e21 flask e22 for each trial	solvent # was pipetted into $ flask	13	15	23	25	29
Member-Collection(e1,e2)	1	2	the fifty e11 essays e12 collected in this e21 volume e22 testify to most of the prominent themes from professor quispel scholarly career	essays # collected in $ volume	3	5	9	11	24
Other	1	2	their e11 composer e12 has sunk into e21 oblivion e22	composer # has sunk into $ oblivion	2	4	8	10	11
Message-Topic(e1,e2)	1	2	the pulitzer committee issues an official e11 citation e12 explaining the e21 reasons e22 for the award	citation # explaining $ reasons	7	9	12	14	18
Cause-Effect(e2,e1)	1	2	the e11 burst e12 has been caused by water hammer e21 pressure e22	burst # has been caused by $ pressure	2	4	11	13	14
Instrument-Agency(e2,e1)	1	2	even commercial e11 networks e12 have moved into e21 high - definition broadcast e22	networks # have moved into $ broadcast	3	5	9	14	15
Message-Topic(e1,e2)	1	2	it was a friendly e11 call e12 to remind them about the e21 bill e22 and make sure they have a copy of the invoice	call # to remind them about $ bill	5	7	13	15	26
Instrument-Agency(e2,e1)	1	2	texas - born e11 virtuoso e12 finds harmony sophistication in appalachian e21 instrument e22	virtuoso # in $ instrument	4	6	12	14	15
Product-Producer(e2,e1)	1	2	the e11 factory e12 products have included flower pots finnish rooster - whistles pans e21 trays e22 tea pots ash trays and air moisturisers	factory # have included $ trays	2	4	15	17	25
Component-Whole(e2,e1)	1	2	the girl showed a photo of apple e11 tree e12 e21 blossom e22 on a fruit tree in the central valley	tree # $ blossom	8	10	11	13	22
Member-Collection(e2,e1)	1	2	they tried an assault of their own an hour later with two columns of sixteen tanks backed by a e11 battalion e12 of panzer e21 grenadiers e22	battalion # of $ grenadiers	20	22	25	27	28
Entity-Origin(e1,e2)	1	2	their e11 knowledge e12 of the power and rank symbols of the continental empires was gained from the numerous germanic e21 recruits e22 in the roman army and from the roman practice of enfeoffing various germanic warrior groups with land in the imperial provinces	knowledge # was gained from $ recruits	2	4	21	23	45
Member-Collection(e2,e1)	1	2	she soon had a e11 stable e12 of her own rescued e21 hounds e22	stable # of her $ hounds	5	7	12	14	15
Cause-Effect(e1,e2)	1	2	the e11 singer e12 who performed three of the nominated songs also caused a e21 commotion e22 on the red carpet	singer # caused $ commotion	2	4	15	17	22
Other	1	2	his intellectually engaging books and e11 essays e12 remain pertinent to illuminating contemporary e21 history e22	essays # remain to illuminating $ history	6	8	14	16	17
Member-Collection(e2,e1)	1	2	poor hygiene controls reports of a e11 brace e12 of gamey e21 grouse e22 and what looked like a skinned fox all amounted to a pie that was unfit for human consumption	brace # of $ grouse	7	9	12	14	33
Other	1	2	this sweet e11 dress e12 is made with a e21 blend e22 of cotton and silk and the crochet flower necklace is the perfect accessory	dress # is made with $ blend	3	5	10	12	26
Cause-Effect(e1,e2)	1	2	e11 suicide e12 is one of the leading causes of e21 death e22 among pre - adolescents and teens and victims of bullying are at an increased risk for committing suicide	suicide # is of $ death	1	3	11	13	32
Message-Topic(e1,e2)	1	2	this e11 article e12 gives details on 2004 in e21 music e22 in the united kingdom including the official charts from that year	article # on in $ music	2	4	10	12	24
Message-Topic(e1,e2)	1	2	we have therefore taken the initiative to convene the first international open e11 meeting e12 dedicated solely to e21 rural history e22	meeting # dedicated to $ history	13	15	19	22	23
Component-Whole(e1,e2)	1	2	the e11 timer e12 of the e21 device e22 automatically eliminates wasted standby power consumption by automatically turn off electronics plugged into the auto off outlets	timer # of $ device	2	4	7	9	27
Message-Topic(e2,e1)	1	2	bob parks made a similar e11 offer e12 in a e21 phone call e22 made earlier this week	offer # in $ call	6	8	11	14	19
Cause-Effect(e2,e1)	1	2	he had chest pains and e11 headaches e12 from e21 mold e22 in the bedrooms	headaches # from $ mold	6	8	10	12	16
Product-Producer(e1,e2)	1	2	the silver - haired author was not just laying india politician saint to rest but healing a generations - old rift in the family of the e11 country e12 founding e21 father e22	country # founding $ father	27	29	31	33	34
Entity-Destination(e1,e2)	1	2	it describes a method for loading a horizontal e11 stack e12 of containers into a e21 carton e22	stack # into $ carton	9	11	16	18	19
Component-Whole(e1,e2)	1	2	the foundation decided to repurpose the building in order to reduce wear and tear on the e11 plumbing e12 in the e21 manor house e22 by redirecting visitors during restoration projects and beyond	plumbing # in $ house	17	19	22	25	34
Entity-Origin(e1,e2)	1	2	the technology is available to produce and transmit e11 electricity e12 economically from otec e21 systems e22	electricity # from $ systems	9	11	15	17	18
Other	1	2	the medicare buy - in e11 plan e12 ran into senate e21 resistance e22	plan # ran into $ resistance	6	8	12	14	15
Component-Whole(e2,e1)	1	2	the e11 provinces e12 are divided into e21 counties e22 shahrestan and subdivided into districts bakhsh and sub - districts dehestan	provinces # are divided into $ counties	2	4	8	10	22
Cause-Effect(e1,e2)	1	2	financial e11 stress e12 is one of the main causes of e21 divorce e22	stress # is of $ divorce	2	4	12	14	15
Instrument-Agency(e2,e1)	1	2	e11 newspapers e12 swap content via widgets with the help of the newsgator e21 service e22	newspapers # with $ service	1	3	14	16	17
Cause-Effect(e1,e2)	1	2	the e11 women e12 that caused the e21 accident e22 was on the cell phone and ran thru the intersection without pausing on the median	women # caused $ accident	2	4	8	10	26
Content-Container(e1,e2)	1	2	the e11 transmitter e12 was discovered inside a bed settee e21 suite e22 on which he had been sitting	transmitter # was discovered inside $ suite	2	4	11	13	20
Member-Collection(e2,e1)	1	2	the kerala backwaters are a e11 chain e12 of brackish e21 lagoons e22 and lakes lying parallel to the arabian sea coast of kerala state in southern india	chain # of $ lagoons	6	8	11	13	29
Entity-Origin(e1,e2)	1	2	a st paul college e11 student e12 was released from e21 jail e22 wednesday night after his arrest tuesday in the alleged rape of another student on campus	student # was released from $ jail	5	7	11	13	29
Cause-Effect(e2,e1)	1	2	e11 calluses e12 are caused by improperly fitting shoes or by a e21 skin abnormality e22	calluses # are caused by fitting $ abnormality	1	3	13	16	17
