0	the system as described above has its greatest application in an arrayed # configuration # of antenna $ elements $	12	whole	component	2
1	the # child # was carefully wrapped and bound into the $ cradle $ by means of a cord	0	other	other	0
2	the # author # of a keygen uses a $ disassembler $ to look at the raw assembly code	6	agency	instrument	2
3	a misty # ridge # uprises from the $ surge $	0	other	other	0
4	the # student # $ association $ is the voice of the undergraduate student population of the state university of new york at buffalo	15	member	collection	1
5	this is the sprawling # complex # that is peru largest $ producer $ of silver	0	other	other	0
6	the current view is that the chronic # inflammation # in the distal part of the stomach caused by helicobacter pylori $ infection $ results in an increased acid production from the non - infected upper corpus region of the stomach	10	effect	cause	2
7	# people # have been moving back into $ downtown $	7	entity	destination	1
8	the # lawsonite # was contained in a $ platinum crucible $ and the counter - weight was a plastic crucible with metal pieces	17	content	container	1
9	the solute was placed inside a beaker and 5 ml of the # solvent # was pipetted into a 25 ml glass $ flask $ for each trial	7	entity	destination	1
10	the fifty # essays # collected in this $ volume $ testify to most of the prominent themes from professor quispel scholarly career	15	member	collection	1
11	their # composer # has sunk into $ oblivion $	0	other	other	0
12	the pulitzer committee issues an official # citation # explaining the $ reasons $ for the award	1	message	topic	1
13	the # burst # has been caused by water hammer $ pressure $	10	effect	cause	2
14	even commercial # networks # have moved into $ high - definition broadcast $	6	agency	instrument	2
15	it was a friendly # call # to remind them about the $ bill $ and make sure they have a copy of the invoice	1	message	topic	1
16	texas - born # virtuoso # finds harmony sophistication in appalachian $ instrument $	6	agency	instrument	2
17	the # factory # products have included flower pots finnish rooster - whistles pans $ trays $ tea pots ash trays and air moisturisers	4	producer	product	2
18	the girl showed a photo of apple # tree # $ blossom $ on a fruit tree in the central valley	12	whole	component	2
19	they tried an assault of their own an hour later with two columns of sixteen tanks backed by a # battalion # of panzer $ grenadiers $	16	collection	member	2
20	their # knowledge # of the power and rank symbols of the continental empires was gained from the numerous germanic $ recruits $ in the roman army and from the roman practice of enfeoffing various germanic warrior groups with land in the imperial provinces	13	entity	origin	1
21	she soon had a # stable # of her own rescued $ hounds $	16	collection	member	2
22	the # singer # who performed three of the nominated songs also caused a $ commotion $ on the red carpet	9	cause	effect	1
23	his intellectually engaging books and # essays # remain pertinent to illuminating contemporary $ history $	0	other	other	0
24	poor hygiene controls reports of a # brace # of gamey $ grouse $ and what looked like a skinned fox all amounted to a pie that was unfit for human consumption	16	collection	member	2
25	this sweet # dress # is made with a $ blend $ of cotton and silk and the crochet flower necklace is the perfect accessory	0	other	other	0
26	# suicide # is one of the leading causes of $ death $ among pre - adolescents and teens and victims of bullying are at an increased risk for committing suicide	9	cause	effect	1
27	this # article # gives details on 2004 in $ music $ in the united kingdom including the official charts from that year	1	message	topic	1
28	we have therefore taken the initiative to convene the first international open # meeting # dedicated solely to $ rural history $	1	message	topic	1
29	the # timer # of the $ device $ automatically eliminates wasted standby power consumption by automatically turn off electronics plugged into the auto off outlets	11	component	whole	1
30	bob parks made a similar # offer # in a $ phone call $ made earlier this week	2	topic	message	2
31	he had chest pains and # headaches # from $ mold $ in the bedrooms	10	effect	cause	2
